BE,silhouette,davies_bouldin,calinski_harabasz
1.2000004,0.25327614953961947,1.2959599467355272,3917.1384052215226
1.3000008,0.252730477515968,1.2709920630302916,3712.6149023144058
1.3999993,0.259697712721158,1.2504607937649892,3551.1207164942925
1.4999996,0.25191466964491205,1.274419785837768,3592.067120801012
1.6,0.2500660649248155,1.285245276398694,3735.451416949655
1.7000004,0.24676294702395368,1.3168532901117482,3826.44745570657
1.8000008,0.2404129495798258,1.3387235053411508,3857.744644090685
1.8999993,0.24241663704114114,1.3294363580860207,3937.257780147364
1.9999996,0.25370357223856066,1.3038430304617563,4054.579657804242
2.0999999,0.2480091311787678,1.3197594995815567,4169.870714226804
