BE,feature_set,spatial_weight,smooth_iterations,silhouette,davies_bouldin,calinski_harabasz
1.2000004,A,0.0,0,0.38961194815475697,0.8651907394720643,8334.432911347696
1.3000008,A,0.0,0,0.39416834184664007,0.8471731194820765,7757.442682599178
1.3999993,A,0.0,0,0.40127448317157194,0.8330343267809499,7283.027550648425
1.4999996,A,0.0,0,0.39623951390728507,0.8363032142243916,7420.24682868569
1.6,A,0.0,0,0.3939641201155652,0.84634096001191,7853.589288155231
1.7000004,A,0.0,0,0.3876920723165652,0.8706914680333444,8164.702844512456
1.8000008,A,0.0,0,0.38207192082930846,0.8847946270901862,8291.831977474589
1.8999993,A,0.0,0,0.3875867935586061,0.8615033853490197,8627.526664778077
1.9999996,A,0.0,0,0.40365147319550515,0.84629532667285,9049.701273641227
2.0999999,A,0.0,0,0.40121617549995053,0.8310073990110428,9511.131238696304
