kx,ky,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,valid
90.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040782833509321506,0.001132856486370042,0.002084455934920877,0.002764169826742902,0.003171998161836117,0.003307940940200522,0.003171998161836117,0.002764169826742902,0.002084455934920877,0.001132856486370042,0.00040782833509321506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
90.0,21.0,0.0,0.017044983224998794,0.05218929866629713,0.10340535923962228,0.15162059463570274,0.1937530687789648,0.24208598759047362,0.2871771781554742,0.30411654523858395,0.3021145546452393,0.27285269195616974,0.23739527869403726,0.2213037987226848,0.22527030332870576,0.27004858012850924,0.3021291916927518,0.33813199505560176,0.3414603086345034,0.3312897394704236,0.28889389327499543,0.22541843059332217,0.1533472132437692,0.07468420497331613,0.03129433387074666,0.0,0.0,0.0,0.03875442139436556,0.12176133381346811,0.23823987615201905,0.336702757144586,0.3988528926953692,0.4248225719930915,0.41513213477489913,0.354071989506175,0.2516216540065455,0.1469155567818,0.08320611198864397,0.0880179761636679,0.1366191190967671,0.18476864315060249,0.2232876815062817,0.2415553157267555,0.25921794227867034,0.256495558272499,0.23724481442115783,0.2067420041763116,0.16251599524436103,0.10456678762530629,0.0488699893563966,0.012489593627171827,True
90.0,22.0,0.018032224584593342,0.09055698466095613,0.2057854507454435,0.3338965687698173,0.42664119834325653,0.4840193394657608,0.5059656657009505,0.4717729833123981,0.3881422709905711,0.30942023247059947,0.25268936354127136,0.24376478464814821,0.22488288605955534,0.25455986968074734,0.33802043984719027,0.477221457414653,0.5952298938590993,0.644658425420789,0.617385903388631,0.5258073320408005,0.40508700634149736,0.241226829424272,0.14677675954839411,0.09393333696265603,0.094700116910958,0.11749865265418824,0.193225509316778,0.3070779127068711,0.40510779192044366,0.4542443100177877,0.476471346211024,0.43615662478864003,0.3608909427368241,0.2314971859388447,0.17859893410578673,0.1198523482750508,0.1587330325849932,0.20723303066149187,0.31876421533816046,0.40608470079972314,0.49005413851749674,0.5565066824623491,0.6028872819811106,0.5585206488885881,0.4908889542505971,0.41936598579694856,0.37882249668064005,0.3311586722907761,0.276374512627357,0.21447001769038274,0.17082690930788147,True
90.0,23.0,0.2731191540010378,0.21667098795703674,0.14462696797605956,0.0978394061651311,0.07630830252425143,0.08003365705342051,0.08997399968999611,0.13662232845960529,0.2060251682720646,0.3429023537959566,0.4735183656208344,0.5733452701884767,0.6101209339041928,0.586911190665788,0.5414125248187024,0.44939991600357104,0.3426820216370376,0.2502744171300098,0.16504921317425233,0.15178259502342195,0.1193032286307116,0.1550812827923661,0.11841622523527036,0.13287828346493133,0.17518026253621793,0.27472115056229257,0.4011353648806329,0.498358698817872,0.590814749982288,0.6118279367118474,0.5580581619469114,0.4962226469629481,0.40460982768864967,0.34975274635950276,0.216331963762981,0.18870003803893826,0.21220922862188812,0.3071934044775351,0.35350583649962053,0.4057773567202053,0.48394684028292,0.5497436072236918,0.5455056287818003,0.4906163924374292,0.44344047478527826,0.4211684271055809,0.4361026747975965,0.454953323709656,0.4777203738417597,0.5044038251939074,0.5234982598353539,True
90.0,24.0,0.13471987340370054,0.14427884986267056,0.15811477190836873,0.17094560866855307,0.18277136014322354,0.19359202633238,0.2024119278675213,0.2160129025995633,0.24077345796794467,0.2669101531262425,0.2759811034878524,0.23931492327295834,0.2112557927234776,0.1771356783969777,0.18567245658353254,0.16859210710275155,0.1290923171997673,0.08556247642549741,0.07089321960837607,0.09790234951790022,0.12994157055762423,0.16762370326680634,0.21064147602357963,0.22514751094291774,0.23260035296756848,0.24921257075319628,0.2782319229232913,0.27807069994209477,0.2586658493803317,0.24972650600174928,0.2855903119634581,0.2769811287601567,0.2896712587178007,0.29717663732676564,0.3543041169101074,0.3969217478012348,0.40571655662353523,0.4417255610234361,0.47258316545679335,0.5433581507106491,0.607597319263502,0.6473192678309999,0.6241993702854477,0.5259768259761831,0.42091245866092153,0.3276980911794537,0.2655922481900258,0.21040705708897092,0.16214251787628944,0.12079863055198121,0.09554292296523352,True
90.0,25.0,0.3754712975099411,0.35997695339334473,0.34004770242792326,0.3267429818814478,0.32006279175391844,0.32000713204533493,0.35307205744305714,0.3664606184469631,0.33900531037097353,0.352067279505962,0.3854616898313459,0.49702762546394946,0.5408471368242155,0.5647464750950967,0.49004660027376323,0.3970996246987124,0.339247080390968,0.3239955192342284,0.310628972041144,0.25038996853977596,0.19290299920188145,0.16056594463637078,0.13949937192259698,0.16769420988286676,0.19383249511729495,0.2384544117584693,0.2183490286382429,0.20062303699142822,0.18708368076474283,0.21601567430185928,0.26576440854293526,0.3157141829683311,0.3113528817987334,0.26674716360761536,0.2511217313559743,0.2960717576415443,0.35274993666651383,0.39251833409909626,0.38876290301552385,0.37430941504980875,0.34395655853914064,0.40259285892756097,0.4925325813503259,0.613105186448367,0.6852292414726735,0.7476292143034332,0.7955006166418989,0.8415703034761212,0.8858382748061004,0.928304530631837,0.956014796014247,True
90.0,26.0,0.0014352963694754888,0.0343309617558294,0.0937596262836941,0.17335862370822644,0.23817551150665578,0.288210289678982,0.31799704799956263,0.3357185350121231,0.3602599624897637,0.36676038047695875,0.34891228655174994,0.33673103628184853,0.28040901332280427,0.3231714230652989,0.3919429966002623,0.5041379635916579,0.5613068973611716,0.5637468800777837,0.5376519623509883,0.4800094629848131,0.46829723790233113,0.5531059967048176,0.6725379886599837,0.7880161371748623,0.8034603679463675,0.8675831561021908,0.8860433924176627,0.9089118311587538,0.8444129382605395,0.7134659361702271,0.5058505305736472,0.27441526791056936,0.12882719924666522,0.14816373400305666,0.16436905843809355,0.19831346365562263,0.21442018502593166,0.3383652651165724,0.45426429484482644,0.5479999709930015,0.5570617298512175,0.5136893279816278,0.41783828900852643,0.30526718794899016,0.20369639392183111,0.13340325665107103,0.07944456951506311,0.03581806531287108,0.010177790156015052,0.0,0.0,True
90.0,27.0,0.40155362075371515,0.40118484096005,0.39821456650326026,0.3904100825138861,0.37777138899192764,0.36029848593738445,0.35053822843197685,0.28726532647896674,0.2534201885078979,0.2376827179748607,0.2715737761974581,0.25791434154054593,0.21498360779596545,0.1993950328333965,0.21602847834460384,0.2370868222803353,0.2273698657304463,0.18794519048917258,0.13871978962890238,0.07277053516680211,0.05942703359332832,0.05145147767072615,0.09454952272165419,0.10526428098398403,0.14330239227580974,0.15920666817762674,0.1830199772523568,0.22932408823186112,0.2967626147913796,0.377174211381449,0.4003913881358208,0.40186178748860474,0.3822822293337032,0.3730597496332755,0.3668358169163948,0.3520764849667342,0.34455002742700597,0.307612744116619,0.2579815221406963,0.22519546766893966,0.17495598127830853,0.1616075203599307,0.10653354912883917,0.12697901731537306,0.1389957570933204,0.17952199287777995,0.19802321990634608,0.2222953550126633,0.2523383981967316,0.28815234945855106,0.3139519529923477,True
90.0,28.0,0.32715039912084176,0.2714422606385511,0.19445691646091634,0.1306252993748839,0.0799474093804538,0.04242324647762616,0.03053444518987285,0.017854888263064424,0.0132988099399977,0.006120046441784665,0.02307348480123977,0.043307886495835946,0.10029261852202613,0.1888768351815993,0.315523930505099,0.45064046852325546,0.536637768120267,0.6194081453629482,0.6734760499330025,0.705981150487596,0.6858576034960595,0.617791452493913,0.5562830944691403,0.47709516611198083,0.40387991781498606,0.33798208137773644,0.28721356053871827,0.21903271464313065,0.18906802903595196,0.2573426273886883,0.3865165086203154,0.493187995047957,0.5154866119086222,0.5234582047518429,0.5188748794742629,0.5194471550482372,0.4712606923399788,0.4207403444353446,0.35881309364700986,0.29311489722197515,0.3324112925380046,0.41199655788452594,0.5387761472723102,0.5296248527119809,0.4905736945080924,0.4473225564943273,0.4481986073812073,0.44712430081843635,0.44409963680601483,0.43912461534394254,0.43515781521934427,True
90.0,29.0,0.07886617147678997,0.13398811854817122,0.210883513966198,0.27620385900613453,0.32994915366798083,0.37211939795173654,0.3976136154085582,0.4304745668997812,0.4706454181803354,0.47980866718606063,0.46815537098130783,0.4473090967739675,0.429205330754797,0.39705657458437527,0.3478426231907428,0.368027965943582,0.33265360545076234,0.40326804945708306,0.4775123681185129,0.6280462377669876,0.7299374710626136,0.7840709387666578,0.8506055681367741,0.8059339360823209,0.7222827410763767,0.615138170746014,0.5230167728183229,0.38313676713981754,0.2234775651676173,0.1928166986211817,0.23932885355003325,0.3393418271593307,0.39348798205027685,0.4944662544822794,0.5456862722589974,0.574235142012816,0.6058010942693219,0.6276281202672688,0.610715427031029,0.5351653985356416,0.4926653872639428,0.4127313677552551,0.3356452786153477,0.2523038996837819,0.2303660249840755,0.2271313061166279,0.2314608529435447,0.2458098992923409,0.27017844516301653,0.30456649055557167,0.33083168732456825,True
