kx,ky,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51
20.0,84.0,2.93665,1.15677,1.1849,0.0,0.0,0.97664398,0.0,0.20823701,0.0,0.0,0.97662699,0.99959898,0.0,0.0,1.01534,0.97665399,0.0,0.0,0.0,0.0,1.9648,0.0,0.94458997,1.32269,1.05568,0.97665399,0.0,1.96473,0.0,0.0,0.0,0.0,0.0,1.95327,0.0,0.21214899,0.367924,0.97662902,2.03234,0.0,0.0,0.0,0.20823701,2.1661301,0.98810798,0.97666901,0.97664797,0.97663999,0.0,1.01536,0.0
20.0,85.0,0.0,0.0,2.05006,0.976668,1.21337,2.99842,0.0,0.0,0.0,1.01535,1.18879,1.93085,2.0033801,0.0,2.31089,0.0,1.01537,0.0,0.212147,0.91157502,1.0324399,0.94463402,0.0,1.94888,0.988096,1.03246,0.0,0.212154,0.0,0.97281599,0.0,0.0,0.0,0.97665501,0.212147,0.0,2.5620699,0.97662801,0.212152,0.0,0.0,0.0,0.98807299,0.91157502,1.98202,0.0,0.36586699,0.94462502,1.85834,0.98811603,0.0
20.0,86.0,0.0,0.212147,1.1158201,0.97665,0.030077999,0.0,0.97665697,1.94947,0.21214999,1.1158201,0.0,0.480046,0.212152,0.0,0.0,0.212153,0.0,0.0,0.0,0.138482,0.0,2.0592301,0.0,0.0,0.0,0.34609401,0.214167,0.0,1.20977,0.0,1.22842,0.0,0.0,0.0,0.0,0.0,1.88925,0.0,0.0,0.43768999,0.0,0.97283602,0.095076799,1.1538301,0.97665203,0.0,0.97281897,0.0,0.13394,0.0,0.0
20.0,87.0,0.0,0.0,0.0,0.0,0.98180002,2.92996,0.98811001,0.97661197,0.97668499,1.01379,0.97661197,0.0,0.0,0.0,0.0,0.0,0.0,0.97666597,0.212152,1.01535,0.0,1.18881,0.212152,1.01432,0.97666103,0.0,0.037225001,0.0,0.0,0.0,0.57428002,0.249348,0.0,0.0,1.9533,0.0,0.212144,1.0686899,0.212147,1.55432,0.0,0.0,1.13248,0.0,0.037198801,0.0,0.97668099,1.29073,0.34608701,0.0,0.0
20.0,88.0,0.94460899,1.07823,2.05248,0.97662097,1.0431,1.54897,0.0,0.367522,0.0,1.96477,1.01336,0.0,0.0,0.505431,1.03707,0.21215799,0.0,2.0034699,1.96681,0.98859,2.9261601,0.97662503,0.0,1.2002701,0.068741903,1.3614399,3.5675199,0.0,0.0,1.0370899,2.9299099,0.99158698,2.9414599,1.94943,0.068741903,1.96478,0.99160302,0.94460899,0.0,1.10855,2.00352,0.0,0.0,0.50745302,0.97665501,0.0,1.96477,0.0,1.0010099,0.50744897,0.0
20.0,89.0,0.0,0.0,0.0,0.94461697,1.01533,0.46921799,0.0,1.06034,0.0,2.03702,0.0,0.0,0.944637,1.44405,0.0,0.0,0.212136,0.99889201,0.97665399,0.212155,0.0,0.0,0.0,0.97661102,0.21214899,0.0,1.44581,0.94462299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212136,0.0,0.0,0.0,0.0,0.0,0.0,0.46920499,0.97665399,0.0,0.0,0.98807001,0.0,0.469219,0.0
20.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
